Source,Key,English,Traditional Chinese
CLI,postgen.env_setup,Setting up environment configuration...,正在設定環境變量……
CLI,postgen.format_error,Warning: Auto-formatting skipped: {error},提示：跳過自動格式化 — {error}
CLI,postgen.format_error_manual,Run 'make fix' manually to format code,可手動執行 make fix 格式化代碼
CLI,postgen.format_hint,Run 'make fix' to format code when ready,準備好後可執行 make fix 格式化代碼
CLI,postgen.format_manual,Run 'make fix' manually to resolve remaining issues,可執行 make fix 修復剩餘格式問題
CLI,postgen.format_partial,"Some formatting issues detected, but project created successfully",存在少量格式問題（不影響使用）
CLI,postgen.format_start,Auto-formatting generated code...,正在格式化生成的代碼……
CLI,postgen.format_success,Code formatting completed successfully,代碼格式化完成
CLI,postgen.format_timeout,Warning: Formatting timeout - run 'make fix' manually when ready,提示：格式化超時，可稍後執行 make fix
CLI,postgen.llm_fixtures_fallback,Static fixture data is available but may be outdated,靜態數據可用，但可能不是最新版本
CLI,postgen.llm_fixtures_outdated,Static fixture data loaded (may be outdated),已加載靜態數據（可能不是最新）
CLI,postgen.llm_seed_error,Warning: LLM fixture seeding failed: {error},提示：LLM 數據加載失敗 — {error}
CLI,postgen.llm_seed_failed,Warning: LLM fixture seeding failed,提示：LLM 數據加載未成功
CLI,postgen.llm_seed_manual,You can seed fixtures manually by running the fixture loader,可手動運行數據加載腳本
CLI,postgen.llm_seed_success,LLM fixtures seeded successfully,LLM 基礎數據加載完成
CLI,postgen.llm_seed_timeout,Warning: LLM fixture seeding timeout,提示：LLM 數據加載超時
CLI,postgen.llm_seeding,Seeding LLM fixtures...,正在加載 LLM 基礎數據……
CLI,postgen.llm_sync_error,Warning: LLM catalog sync failed: {error},提示：LLM 目錄同步失敗 — {error}
CLI,postgen.llm_sync_failed,Warning: LLM catalog sync failed,提示：LLM 目錄同步未成功
CLI,postgen.llm_sync_hint,Run '{slug} llm sync' later to get latest model data,之後可運行 {slug} llm sync 獲取最新模型數據
CLI,postgen.llm_sync_manual,Run '{slug} llm sync' manually to populate the catalog,可手動執行 {slug} llm sync 獲取目錄數據
CLI,postgen.llm_sync_skipped,LLM catalog sync skipped,已跳過 LLM 目錄同步
CLI,postgen.llm_sync_success,LLM catalog synced successfully,LLM 目錄同步完成
CLI,postgen.llm_sync_timeout,Warning: LLM catalog sync timeout,提示：LLM 目錄同步超時
CLI,postgen.llm_syncing,Syncing LLM catalog from external APIs...,正在從外部 API 同步 LLM 目錄……
CLI,postgen.next_cd,   cd {path},   cd {path}
CLI,postgen.next_dashboard,   Open Overseer: http://localhost:8000/dashboard/,   訪問：http://localhost:8000/dashboard/
CLI,postgen.next_serve,   make serve,   make serve
CLI,postgen.next_steps,Next steps:,接下來：
CLI,postgen.ready,Project ready to run!,項目已就緒！
CLI,postgen.setup_start,Setting up your project environment...,正在初始化環境……
CLI,postgen.star_prompt,"If Aegis Stack made your life easier, consider leaving a star:",如果對你有幫助，歡迎點個 Star：
CLI,projectmap.ai,AI conversations,AI 對話
CLI,projectmap.auth,Authentication,認證
CLI,projectmap.cli,CLI commands,命令行工具
CLI,projectmap.comms,Communications,通信
CLI,projectmap.components,Components,組件
CLI,projectmap.docs,Documentation,文檔
CLI,projectmap.entrypoints,Run targets,啟動入口
CLI,projectmap.migrations,Migrations,數據庫遷移
CLI,projectmap.models,Database models,數據模型
CLI,projectmap.new,NEW,新增
CLI,projectmap.services,Business logic,業務邏輯
CLI,projectmap.tests,Test suite,測試
CLI,projectmap.title,Project Structure:,項目結構：
CLI,remove.auto_remove_redis,"Auto-removing redis (no standalone functionality, only used by worker)",自動移除 Redis（僅由 Worker 使用，無獨立功能）
CLI,remove.cannot_remove_core,Cannot remove core component: {component},無法移除核心組件：{component}
CLI,remove.commit_hint,Make sure you have committed your changes to git.,建議先提交當前變更（git commit）
CLI,remove.components_to_remove,Components to remove:,將移除的組件：
CLI,remove.confirm,Remove these components?,確認移除？
CLI,remove.error_no_args,Error: components argument is required (or use --interactive),請指定組件名稱，或使用 --interactive 模式
CLI,remove.failed,Failed to remove components: {error},組件移除失敗：{error}
CLI,remove.failed_component,Failed to remove {component}: {error},移除 {component} 失敗：{error}
CLI,remove.interactive_hint,Or: aegis remove --interactive,或：aegis remove --interactive
CLI,remove.load_config_failed,Failed to load project configuration: {error},加載項目設定失敗：{error}
CLI,remove.no_selected,No components selected for removal,未選擇要移除的組件
CLI,remove.not_enabled,Not enabled: {components},未啟用：{components}
CLI,remove.nothing_to_remove,No components to remove!,沒有可移除的組件
CLI,remove.project,Project: {path},項目：{path}
CLI,remove.removed_files,Removed {count} files,移除了 {count} 個檔案
CLI,remove.removing,Removing {component}...,正在移除 {component}……
CLI,remove.removing_all,Removing components...,正在移除組件……
CLI,remove.scheduler_db_remains,The database file at data/scheduler.db will remain.,數據檔案 data/scheduler.db 將保留。
CLI,remove.scheduler_keep_hint,To keep your job history: Leave the database component,如需保留任務歷史：請保留數據庫組件
CLI,remove.scheduler_persistence_detail,Your scheduler uses SQLite for job persistence.,調度器當前使用 SQLite 進行任務持久化。
CLI,remove.scheduler_persistence_warn,IMPORTANT: Scheduler Persistence Warning,重要提示：調度器持久化數據
CLI,remove.scheduler_remove_hint,To remove all data: Also remove the database component,如需清除所有數據：同時移除數據庫組件
CLI,remove.success,Components removed successfully!,組件已移除
CLI,remove.title,Aegis Stack - Remove Components,Aegis Stack — 移除組件
CLI,remove.usage_hint,"Usage: aegis remove scheduler,worker","用法：aegis remove scheduler,worker"
CLI,remove.validation_failed,Component validation failed: {error},組件校驗失敗：{error}
CLI,remove.warning_delete,WARNING: This will DELETE component files from your project!,注意：此操作將刪除該組件的相關檔案！
CLI,remove_service.auth_db_note,Note: Database tables and alembic migrations are NOT deleted.,注意：數據庫表和 Alembic 遷移檔案不會被刪除。
CLI,remove_service.auth_delete_endpoints,User authentication API endpoints,用戶認證 API 端點
CLI,remove_service.auth_delete_intro,Removing auth service will delete:,移除認證服務將刪除以下內容：
CLI,remove_service.auth_delete_jwt,JWT token handling code,JWT 令牌處理代碼
CLI,remove_service.auth_delete_models,User model and authentication services,用戶模型與認證服務
CLI,remove_service.auth_warning,IMPORTANT: Auth Service Warning,重要提示：移除認證服務將產生影響
CLI,remove_service.confirm,Remove these services?,確認移除？
CLI,remove_service.deps_not_removed,"Note: Service dependencies (database, etc.) were NOT removed.",注意：服務依賴的組件（數據庫等）未被移除。
CLI,remove_service.deps_remove_hint,Use 'aegis remove <component>' to remove components separately.,可使用 aegis remove <組件名> 單獨移除組件。
CLI,remove_service.error_no_args,Error: services argument is required (or use --interactive),請指定服務名稱，或使用 --interactive 模式
CLI,remove_service.failed,Failed to remove services: {error},服務移除失敗：{error}
CLI,remove_service.failed_service,Failed to remove service {service}: {error},移除服務 {service} 失敗：{error}
CLI,remove_service.interactive_hint,Or: aegis remove-service --interactive,或：aegis remove-service --interactive
CLI,remove_service.interactive_ignores_args,Warning: --interactive flag ignores service arguments,提示：--interactive 模式將忽略服務參數
CLI,remove_service.load_config_failed,Failed to load project configuration: {error},加載項目設定失敗：{error}
CLI,remove_service.no_selected,No services selected for removal,未選擇要移除的服務
CLI,remove_service.not_enabled,Not enabled: {services},未啟用：{services}
CLI,remove_service.nothing_to_remove,No services to remove!,當前沒有可移除的服務
CLI,remove_service.project,Project: {path},項目：{path}
CLI,remove_service.removed_files,Removed {count} files,移除了 {count} 個檔案
CLI,remove_service.removing,Removing service: {service}...,正在移除 {service}……
CLI,remove_service.services_to_remove,Services to remove:,將移除的服務：
CLI,remove_service.success,Services removed successfully!,服務已移除成功
CLI,remove_service.title,Aegis Stack - Remove Services,Aegis Stack — 移除服務
CLI,remove_service.usage_hint,"Usage: aegis remove-service auth,ai","用法：aegis remove-service auth,ai"
CLI,remove_service.validation_failed,Service validation failed: {error},服務校驗失敗：{error}
CLI,remove_service.warning_delete,WARNING: This will DELETE service files from your project!,注意：此操作將刪除該服務的相關檔案！
CLI,service.ai,AI chatbot service with multi-framework support,AI 對話服務，支援多框架
CLI,service.auth,User authentication and authorization with JWT tokens,用戶認證與授權（JWT）
CLI,service.comms,"Communications service with email, SMS and voice",通信服務（郵件、短信、語音）
CLI,services.none_available,  No services available yet.,  暫無可用服務。
CLI,services.recommends_components,Recommends components: {deps},推薦組件：{deps}
CLI,services.requires_components,Requires components: {deps},依賴組件：{deps}
CLI,services.requires_services,Requires services: {deps},依賴服務：{deps}
CLI,services.title,AVAILABLE SERVICES,可用服務
CLI,services.type_ai,AI & Machine Learning Services,AI 與機器學習服務
CLI,services.type_analytics,Analytics Services,數據分析服務
CLI,services.type_auth,Authentication Services,認證服務
CLI,services.type_notification,Notification Services,通知服務
CLI,services.type_payment,Payment Services,支付服務
CLI,services.type_storage,Storage Services,存儲服務
CLI,services.usage_hint,Use 'aegis init PROJECT_NAME --services auth' to add services,用法：aegis init 項目名 --services auth
CLI,shared.copier_only,The 'aegis {command}' command only works with Copier-generated projects.,aegis {command} 命令僅適用於 Copier 生成的項目。
CLI,shared.empty_component,Empty component name is not allowed,組件名稱不能為空
CLI,shared.empty_service,Empty service name is not allowed,服務名稱不能為空
CLI,shared.git_init_hint,Projects created with 'aegis init' should have git initialized automatically,通過 aegis init 創建的項目應已自動初始化 Git
CLI,shared.git_manual_init,"If you created this project manually, run: git init && git add . && git commit -m 'Initial commit'",如手動創建項目，請執行：git init && git add . && git commit -m 'Initial commit'
CLI,shared.git_not_initialized,Project is not in a git repository,項目未初始化 Git 倉庫
CLI,shared.git_required,Copier updates require git for change tracking,Copier 更新依賴 Git 進行變更追蹤
CLI,shared.interactive_ignores_args,Warning: --interactive flag ignores component arguments,提示：--interactive 模式將忽略組件參數
CLI,shared.next_commit,   3. Commit the changes with: git add . && git commit,   3. 提交變更：git add . && git commit
CLI,shared.next_make_check,   1. Run 'make check' to verify the update,   1. 執行 make check 驗證更新
CLI,shared.next_steps,Next steps:,下一步：
CLI,shared.next_test,   2. Test your application,   2. 測試應用
CLI,shared.no_components_selected,No components selected,未選擇任何組件
CLI,shared.no_services_selected,No services selected,未選擇任何服務
CLI,shared.not_copier_project,Project at {path} was not generated with Copier.,項目 {path} 不是通過 Copier 生成的。
CLI,shared.operation_cancelled,Operation cancelled,操作已取消
CLI,shared.regenerate_hint,"To add components, regenerate the project with the new components included.",如需添加組件，請重新生成項目並包含所需組件。
CLI,shared.review_docker,   git diff docker-compose.yml,   git diff docker-compose.yml
CLI,shared.review_header,Review changes:,查看變更（如有）：
CLI,shared.review_pyproject,   git diff pyproject.toml,   git diff pyproject.toml
CLI,update.already_at_commit,Project is already at the target commit,項目已是目標提交
CLI,update.already_at_version,Project is already at the requested version,項目已是目標版本
CLI,update.backup_created,   Backup created: {tag},   備份已創建：{tag}
CLI,update.backup_failed,Could not create backup point,無法創建備份點
CLI,update.cancelled,Update cancelled,更新已取消
CLI,update.changelog,Changelog:,變更日志：
CLI,update.changelog_breaking,Breaking Changes:,破壞性變更：
CLI,update.changelog_features,New Features:,新增功能：
CLI,update.changelog_fixes,Bug Fixes:,問題修復：
CLI,update.changelog_other,Other Changes:,其他變更：
CLI,update.clean_required,Copier requires a clean git tree to safely merge changes.,Copier 需要幹淨的 Git 工作區才能安全合並變更。
CLI,update.commit_or_stash,Commit or stash your changes before running 'aegis update'.,請先提交或暫存變更，再執行 aegis update。
CLI,update.confirm,Apply this update?,確認更新？
CLI,update.copier_only,The 'aegis update' command only works with Copier-generated projects.,aegis update 命令僅適用於 Copier 生成的項目。
CLI,update.creating_backup,Creating backup point...,正在創建備份點……
CLI,update.current_cli,   Current CLI:      {version},   當前 CLI：     {version}
CLI,update.current_commit,   Current: {commit}...,   當前：{commit}...
CLI,update.current_template,   Current Template: {version},   當前模板：{version}
CLI,update.current_template_commit,   Current Template: {commit}... (commit),   當前模板：{commit}...（提交）
CLI,update.current_template_unknown,   Current Template: unknown,   當前模板：未知
CLI,update.custom_template,Using custom template ({source}): {path},使用自定義模板（{source}）：{path}
CLI,update.dirty_tree,Git tree has uncommitted changes,Git 工作區存在未提交的變更
CLI,update.downgrade_blocked,Downgrade not supported,不支援降級
CLI,update.downgrade_reason,Copier does not support downgrading to older template versions.,Copier 不支援降級到舊版本模板。
CLI,update.dry_run,DRY RUN MODE - No changes will be applied,試運行模式 — 不會應用任何變更
CLI,update.dry_run_hint,"To apply this update, run:",要應用此更新，請執行：
CLI,update.failed,Update failed: {error},更新失敗：{error}
CLI,update.git_clean,Git tree is clean,Git 工作區是幹淨的
CLI,update.manual_rollback,Manual rollback: git reset --hard {tag},手動回滾：git reset --hard {tag}
CLI,update.merge_conflicts,   {count} file(s) have merge conflicts (search for <<<<<<< to resolve):,   {count} 個檔案存在合並衝突（搜索 <<<<<<< 解決）：
CLI,update.moved_files,   Moved {count} new files from nested directory,   已從嵌套目錄移動 {count} 個新檔案
CLI,update.need_regen,Projects generated before v0.2.0 need to be regenerated.,v0.2.0 之前生成的項目需要重新生成。
CLI,update.next_commit,   4. Commit changes: git add . && git commit,   4. 提交變更：git add . && git commit
CLI,update.next_conflicts,   2. Check for conflicts (*.rej files),   2. 檢查衝突（*.rej 檔案）
CLI,update.next_review,   1. Review changes: git diff,   1. 查看變更：git diff
CLI,update.next_steps,Next Steps:,下一步：
CLI,update.next_test,   3. Run tests: make check,   3. 運行測試：make check
CLI,update.not_copier,Project at {path} was not generated with Copier.,項目 {path} 不是通過 Copier 生成的。
CLI,update.partial_detail,   Some setup tasks failed. See details above.,   部分任務失敗，詳情見上方。
CLI,update.partial_success,Update completed with some post-generation task failures,更新完成，但部分生成後任務失敗
CLI,update.project,Project: {path},項目：{path}
CLI,update.rollback_prompt,Rollback to previous state?,回滾到之前的狀態？
CLI,update.running_postgen,Running post-generation tasks...,正在執行生成後任務……
CLI,update.success,Update completed successfully!,更新完成
CLI,update.synced_files,   Synced {count} template changes,   已同步 {count} 處模板變更
CLI,update.target_commit,   Target:  {commit}...,   目標：{commit}...
CLI,update.target_template,   Target Template:  {version},   目標模板：{version}
CLI,update.title,Aegis Stack - Update Template,Aegis Stack — 更新模板
CLI,update.troubleshoot_clean,   - Ensure you have a clean git tree,   - 確保 Git 工作區是幹淨的
CLI,update.troubleshoot_docs,   - Review Copier documentation for update issues,   - 參考 Copier 文檔排查更新問題
CLI,update.troubleshoot_version,   - Check that the version/commit exists,   - 確認版本/提交存在
CLI,update.troubleshooting,Troubleshooting:,故障排查：
CLI,update.unknown_version,Warning: Cannot determine current template version,提示：無法確定當前模板版本
CLI,update.untagged_commit,Project may have been generated from an untagged commit,項目可能是從未打標籤的提交生成的
CLI,update.updating,Updating project...,正在更新項目……
CLI,update.updating_to,Updating to template version {version},正在更新至模板版本 {version}
CLI,update.version_info,Version Information:,版本訊息：
CLI,update.version_updated,   Updated __aegis_version__ to {version},   已更新 __aegis_version__ 至 {version}
CLI,updater.code_formatted,Code formatted (make fix),代碼已格式化（make fix）
CLI,updater.deps_synced,Dependencies synced (uv sync),依賴已同步（uv sync）
CLI,updater.processing_files,Processing {count} component files...,正在處理 {count} 個檔案……
CLI,updater.running_postgen,Running post-generation tasks...,正在執行生成後任務……
CLI,updater.updating_shared,Updating shared template files...,正在更新共享模板檔案……
CLI,validation.invalid_name,"Invalid project name. Only letters, numbers, hyphens, and underscores are allowed.",项目名称不合法，仅支援英文字母、数字、连字符和下划线。
CLI,validation.invalid_python,Invalid Python version '{version}'. Must be one of: {supported},Python 版本「{version}」不受支援，可選版本：{supported}
CLI,validation.name_too_long,Project name too long. Maximum 50 characters allowed.,項目名稱過長，最多 50 個字符。
CLI,validation.reserved_name,'{name}' is a reserved name.,「{name}」是系統保留名稱，請換一個。
CLI,validation.unknown_component,Unknown component: {name},未知組件：{name}
CLI,validation.unknown_service,Unknown service: {name},未知服務：{name}
CLI,validation.unknown_services,Unknown services: {names},未知服務：{names}
CLI,version.info,Aegis Stack CLI v{version},Aegis Stack CLI v{version}
Template,ai.access_denied,Access denied: You don't own this conversation,無權訪問：該對話不屬於你
Template,ai.adding_provider,Adding {provider} provider...,正在添加 {provider} 服務商...
Template,ai.api_key_label,API Key:,API 密鑰：
Template,ai.api_key_skipped,Skipped API key configuration,已跳過 API 密鑰設定
Template,ai.arg_audio_file,Path to audio file,音頻檔案路徑
Template,ai.arg_conversation_id,Conversation ID,對話 ID
Template,ai.arg_message,Message to send to AI,發送給 AI 的消息
Template,ai.arg_provider,"Provider name (openai, anthropic, google, groq, mistral, cohere)",供應商名稱（openai、anthropic、google、groq、mistral、cohere）
Template,ai.arg_provider_switch,Provider name to switch to,要切換到的供應商名稱
Template,ai.arg_text,Text to synthesize into speech,要合成為語音的文本
Template,ai.audio_saved,Audio saved: {path} ({size} bytes),音頻已保存：{path}（{size} 字節）
Template,ai.audio_status,Audio status: {status},音頻狀態：{status}
Template,ai.available_providers,Available providers:,可用服務商：
Template,ai.cancelled,Cancelled,已取消
Template,ai.chat_ended,Chat session ended,聊天會話已結束
Template,ai.chat_hints,Type /help for commands • Esc then Enter to insert newline • 'exit' to quit,輸入 /help 查看命令 • Esc 後回車換行 • 輸入 exit 退出
Template,ai.check_mic,Check your microphone permissions and try again,請檢查麥克風權限後重試
Template,ai.checking_api_key,Checking API key...,正在檢查 API 密鑰...
Template,ai.checking_deps,Checking dependencies...,正在檢查依賴...
Template,ai.col_api_key,API Key,API 密鑰
Template,ai.col_free,Free,免費
Template,ai.col_functions,Functions,函數調用
Template,ai.col_installed,Installed,已安裝
Template,ai.col_provider,Provider,服務商
Template,ai.col_status,Status,狀態
Template,ai.col_stream,Stream,流式
Template,ai.col_vision,Vision,視覺
Template,ai.config_issues,Configuration issues:,設定問題：
Template,ai.config_valid,Configuration valid,設定有效
Template,ai.connecting_to,Connecting to {provider}...,連接 {provider}...
Template,ai.connection_error,Connection Error: {error},連接錯誤：{error}
Template,ai.consider_running,Consider running:,建議運行：
Template,ai.conversation_id_label,Conversation: {id},對話：{id}
Template,ai.conversation_label,Conversation:,對話：
Template,ai.conversation_not_found,Conversation not found: {id},未找到對話：{id}
Template,ai.conversations_for,Conversations for {user_id}:,{user_id} 的對話列表：
Template,ai.current_provider,Current provider: {provider},當前服務商：{provider}
Template,ai.deps_installed,Dependencies already installed,依賴已安裝
Template,ai.deps_not_installed,Dependencies not installed for {provider},{provider} 的依賴未安裝
Template,ai.deps_ok,Dependencies installed,依賴已安裝
Template,ai.disabled,Disabled,已禁用
Template,ai.enabled,Enabled,已啟用
Template,ai.engine_label,Engine:,引擎：
Template,ai.enter_api_key,Enter your {provider} API key (or press Enter to skip),輸入 {provider} API 密鑰（按回車跳過）
Template,ai.enter_message_hint,Please enter a message or type /help.,請輸入消息或輸入 /help 查看命令。
Template,ai.file_not_found,File not found: {path},檔案未找到：{path}
Template,ai.free_tier,Free tier,免費方案
Template,ai.generating_speech,Generating speech...,正在生成語音...
Template,ai.get_api_key_at,Get your API key at:,獲取 API 密鑰：
Template,ai.goodbye,Goodbye!,再見！
Template,ai.header,Illiana:,Illiana：
Template,ai.header_inline,Illiana: ,Illiana：
Template,ai.health_degraded,"DEGRADED ({pct:.0f}%, {count} issues)",異常（{pct:.0f}%，{count} 個問題）
Template,ai.health_label,Health:,健康狀態：
Template,ai.health_na,N/A,不可用
Template,ai.health_ok,OK ({pct:.0f}%),正常（{pct:.0f}%）
Template,ai.help,AI service management and chat commands,AI 服務管理與對話相關命令
Template,ai.help_add_provider,Add a new AI provider — installs dependencies and configures API key.,添加新的 AI 供應商——安裝依賴並設定 API 密鑰。
Template,ai.help_chat,Send a chat message or start an interactive session. Resumes the most recent conversation by default.,發送消息或啟動交互式對話。默認恢復最近的對話。
Template,ai.help_conversations,List conversations for a user.,列出用戶的對話記錄。
Template,ai.help_history,View conversation history.,查看對話歷史。
Template,ai.help_providers,List all available AI providers with installation status.,列出所有可用 AI 供應商及安裝狀態。
Template,ai.help_record,"Record audio from microphone, transcribe, and optionally chat with AI.",錄制麥克風音頻，轉錄文本，並可選擇與 AI 對話。
Template,ai.help_speak,Synthesize speech from text using the configured TTS provider.,使用設定的 TTS 供應商將文本合成為語音。
Template,ai.help_status,"Show AI service status, configuration, and validation.",查看 AI 服務狀態、設定和驗證訊息。
Template,ai.help_stt_status,Show STT (Speech-to-Text) service status.,查看語音轉文字（STT）服務狀態。
Template,ai.help_transcribe,Transcribe audio to text without chat.,將音頻轉錄為文本（不進行對話）。
Template,ai.help_tts_status,Show TTS (Text-to-Speech) service status.,查看文字轉語音（TTS）服務狀態。
Template,ai.help_usage,"Show AI usage statistics including token counts, costs, and recent activity.",查看 AI 使用統計，包括 token 用量、費用和近期活動。
Template,ai.help_use_provider,Switch to a different AI provider.,切換到其他 AI 供應商。
Template,ai.help_voice,Send voice input to AI agent. Transcribes audio and sends to chat.,發送語音輸入給 AI，自動轉錄音頻並發送到對話。
Template,ai.initializing,Initializing...,初始化中...
Template,ai.input_tokens,Input:,輸入：
Template,ai.install_cancelled,Installation cancelled,安裝已取消
Template,ai.install_dep,Install {dep}?,安裝 {dep}？
Template,ai.install_failed_hint,Try installing manually:,請嘗試手動安裝：
Template,ai.install_with,Install with:,安裝命令：
Template,ai.installing,Installing...,安裝中...
Template,ai.invalid_provider,Invalid provider: {provider},無效的服務商：{provider}
Template,ai.language_label,Language: {lang},語言：{lang}
Template,ai.linux_deps,On Linux:,Linux：
Template,ai.macos_portaudio,"On macOS, you may also need PortAudio:",macOS 可能還需要 PortAudio：
Template,ai.max_tokens_label,Max Tokens:,最大 Token 數：
Template,ai.messages_count,{count} messages,{count} 條消息
Template,ai.messages_info,Messages: {count},消息數：{count}
Template,ai.messages_label,Messages:,消息數：
Template,ai.model_label,Model:,模型：
Template,ai.model_usage,Model Usage,模型用量
Template,ai.no_api_key,No {var} found,未找到 {var}
Template,ai.no_api_key_configured,No {var} configured,未設定 {var}
Template,ai.no_conversations,No conversations found for user: {user_id},未找到用戶 {user_id} 的對話
Template,ai.no_model_usage,No model usage data available.,暫無模型用量數據。
Template,ai.no_recent_activity,No recent activity.,暫無最近活動。
Template,ai.no_response_content,(No response content),（無響應內容）
Template,ai.no_token_usage,No token usage recorded.,暫無 Token 用量記錄。
Template,ai.ok,OK,OK
Template,ai.online,Online,已上線
Template,ai.openai_voices,OpenAI Voices:,OpenAI 語音：
Template,ai.opt_collection,RAG collection to search,要搜索的 RAG 集合
Template,ai.opt_conversation_id,Continue existing conversation,繼續已有對話
Template,ai.opt_filter_user_id,Filter by user ID,按用戶 ID 篩選
Template,ai.opt_json,Output raw JSON,以 JSON 格式輸出
Template,ai.opt_language,"Language code (e.g., 'en', 'es')",語言代碼（如 'en'、'es'）
Template,ai.opt_limit,Number of conversations to show,顯示的對話數量
Template,ai.opt_new,Start a fresh conversation (don't resume),開始新對話（不恢復上次）
Template,ai.opt_output_file,Output file path,輸出檔案路徑
Template,ai.opt_output_recording,Save recording to file (default: temp file),保存錄音到檔案（默認：臨時檔案）
Template,ai.opt_rag,Enable RAG (auto-enables if collections exist),啟用 RAG（有集合時自動啟用）
Template,ai.opt_rag_inject,Enable RAG context injection,啟用 RAG 上下文注入
Template,ai.opt_rag_send,Enable RAG context injection (requires --send),啟用 RAG 上下文注入（需配合 --send）
Template,ai.opt_recent,Number of recent activities to show,顯示的最近活動數量
Template,ai.opt_send,Send transcription to AI agent,將轉錄文本發送給 AI
Template,ai.opt_set_default,Set as default provider after adding,添加後設為默認供應商
Template,ai.opt_skip_api_key,Skip API key configuration,跳過 API 密鑰設定
Template,ai.opt_sources,Show source references in output,在輸出中顯示引用來源
Template,ai.opt_speed,Speech speed (0.25-4.0),語速（0.25-4.0）
Template,ai.opt_stream,Enable streaming output,啟用流式輸出
Template,ai.opt_top_k,Number of RAG results to use,使用的 RAG 結果數量
Template,ai.opt_url,API base URL (default: localhost:8000),API 基礎 URL（默認：localhost:8000）
Template,ai.opt_user_id,User identifier,用戶標識
Template,ai.opt_verbose,Show conversation metadata,顯示對話元數據
Template,ai.opt_voice,"Voice to use (alloy, echo, fable, onyx, nova, shimmer)",使用的語音（alloy、echo、fable、onyx、nova、shimmer）
Template,ai.opt_voice_mode,Summarize response for spoken output,將響應摘要化以便語音播放
Template,ai.opt_voice_response,Play TTS response (requires --send),播放 TTS 語音響應（需配合 --send）
Template,ai.opt_yes,Skip confirmation prompts,跳過確認提示
Template,ai.output_tokens,Output:,輸出：
Template,ai.preparing_voice,Preparing voice response...,準備語音回復...
Template,ai.prov_current,Current,當前
Template,ai.prov_current_local,Current (Local),當前（本地）
Template,ai.prov_current_need_key,Current (Need API key),當前（需要 API 密鑰）
Template,ai.prov_current_not_installed,Current (Not installed),當前（未安裝）
Template,ai.prov_error,Error,錯誤
Template,ai.prov_local,Local,本地
Template,ai.prov_na,N/A,不適用
Template,ai.prov_need_key,Need API key,需要 API 密鑰
Template,ai.prov_no,No,否
Template,ai.prov_not_installed,Not installed,未安裝
Template,ai.prov_ready,Ready,就緒
Template,ai.prov_yes,Yes,是
Template,ai.provider_added,Provider added successfully!,服務商添加成功！
Template,ai.provider_info,Provider: {provider},服務商：{provider}
Template,ai.provider_label,Provider:,服務商：
Template,ai.provider_not_installed,Provider not installed: {provider},服務商未安裝：{provider}
Template,ai.provider_set,AI_PROVIDER set to {provider},AI_PROVIDER 已設置為 {provider}
Template,ai.providers_tip,Tip: Run '{app} ai add-provider <name>' to install missing providers.,提示：運行 '{app} ai add-provider <名稱>' 安裝缺少的服務商。
Template,ai.providers_title,AI Providers,AI 服務商
Template,ai.rag_get_started,To get started:,快速開始：
Template,ai.rag_list_hint,Tip: Run '{app} rag list' to see existing collections.,提示：運行 '{app} rag list' 查看現有集合。
Template,ai.rag_requires_content,RAG requires indexed content.,RAG 需要已索引的內容。
Template,ai.rag_step_index,1. Index your codebase:,1. 索引代碼庫：
Template,ai.rag_step_query,2. Query with the collection:,2. 使用集合查詢：
Template,ai.recent_activity,Recent Activity,最近活動
Template,ai.recording,Recording...,錄音中...
Template,ai.recording_cancelled,Recording cancelled,錄音已取消
Template,ai.recording_failed,Recording failed - no audio captured,錄音失敗——未捕獲到音頻
Template,ai.recording_hint,"Press ENTER to stop recording, Ctrl+C to cancel",按回車停止錄音，Ctrl+C 取消
Template,ai.recording_requires,Audio recording requires sounddevice and soundfile packages.,錄音功能需要 sounddevice 和 soundfile 包。
Template,ai.response_label,Response:,回復：
Template,ai.response_time_label,Response time:,響應時間：
Template,ai.resuming_conversation,Resuming conversation {id}... (use --new for fresh start),恢復對話 {id}...（使用 --new 開始新對話）
Template,ai.run_first,Run this command first:,請先運行：
Template,ai.run_to_install,Run '{command}' to install it.,運行 '{command}' 安裝。
Template,ai.sending_to_agent,Sending to agent...,正在發送給 AI...
Template,ai.sources_label,Sources:,引用來源：
Template,ai.speech_duration,Duration: {duration}s,時長：{duration}秒
Template,ai.speech_format,Format: {format},格式：{format}
Template,ai.speech_saved,Speech saved to: {path},語音已保存至：{path}
Template,ai.speech_size,Size: {size} bytes,大小：{size} 字節
Template,ai.speed_label,Speed:,速度：
Template,ai.status_label,Status:,狀態：
Template,ai.status_title,AI Service Status,AI 服務狀態
Template,ai.streaming_supported,Streaming supported,支援流式輸出
Template,ai.stt_status_title,STT Service Status,STT 語音轉文字服務狀態
Template,ai.supported_formats,Supported formats: {formats},支援的格式：{formats}
Template,ai.svc_initialized,Initialized,已初始化
Template,ai.svc_not_initialized,Not initialized (lazy-loaded),未初始化（延遲加載）
Template,ai.switch_anyway,Switch anyway?,仍然切換？
Template,ai.switched_to,Switched to {provider}!,已切換到 {provider}！
Template,ai.switching_to,Switching to {provider} provider...,正在切換到 {provider}...
Template,ai.synthesizing,Synthesizing speech...,正在合成語音...
Template,ai.temperature_label,Temperature:,溫度：
Template,ai.test_with,"Test with: {app} ai chat ""Hello""","測試命令：{app} ai chat ""你好"""
