Source,Key,English,Korean
CLI,interactive.worker_taskiq,"TaskIQ - Async, framework-style with per-queue brokers","TaskIQ - 비동기, 프레임워크 스타일, 큐별 브로커"
CLI,postgen.db_alembic_hint,Skipping database migration. Please ensure the config file exists and run 'alembic upgrade head' manually.,데이터베이스 마이그레이션 건너뜀. 설정 파일이 존재하는지 확인 후 'alembic upgrade head'를 수동으로 실행하세요.
CLI,postgen.db_alembic_missing,Warning: Alembic config file not found at {path},경고: {path}에 Alembic 설정 파일이 없음
CLI,postgen.db_error,Warning: Migration setup failed: {error},경고: 마이그레이션 설정 실패: {error}
CLI,postgen.db_failed,Warning: Database migration setup failed,경고: 데이터베이스 마이그레이션 설정 실패
CLI,postgen.db_manual,Run 'alembic upgrade head' manually after project creation,프로젝트 생성 후 'alembic upgrade head'를 수동으로 실행하세요
CLI,postgen.db_setup,Setting up database schema...,데이터베이스 스키마 설정 중...
CLI,postgen.db_success,Database tables created successfully,데이터베이스 테이블 생성 완료
CLI,postgen.db_timeout,Warning: Migration setup timeout - run 'alembic upgrade head' manually,경고: 마이그레이션 설정 시간 초과 - 'alembic upgrade head'를 수동으로 실행하세요
CLI,postgen.deps_failed,Project generation failed: dependency installation failed,프로젝트 생성 실패: 의존성 설치 실패
CLI,postgen.deps_failed_detail,"The generated project files remain in place, but the project is not usable.",생성된 프로젝트 파일은 남아 있지만 프로젝트를 사용할 수 없습니다.
CLI,postgen.deps_failed_hint,Fix the dependency issue (check Python version compatibility) and try again.,의존성 문제를 해결하고 (Python 버전 호환성 확인) 다시 시도하세요.
CLI,postgen.deps_installing,Installing dependencies with uv...,uv로 의존성 설치 중...
CLI,postgen.deps_manual,Run 'uv sync' manually after project creation,프로젝트 생성 후 'uv sync'를 수동으로 실행하세요
CLI,postgen.deps_success,Dependencies installed successfully,의존성 설치 완료
CLI,postgen.deps_timeout,Warning: Dependency installation timeout - run 'uv sync' manually,경고: 의존성 설치 시간 초과 - 'uv sync'를 수동으로 실행하세요
CLI,postgen.deps_uv_install,Install uv first: https://github.com/astral-sh/uv,먼저 uv를 설치하세요: https://github.com/astral-sh/uv
CLI,postgen.deps_uv_missing,Warning: uv not found in PATH,경고: PATH에서 uv를 찾을 수 없음
CLI,postgen.deps_warn_error,Warning: Dependency installation failed: {error},경고: 의존성 설치 실패: {error}
CLI,postgen.deps_warn_failed,Warning: Dependency installation failed,경고: 의존성 설치 실패
CLI,postgen.docs_link,Docs: https://lbedner.github.io/aegis-stack,문서: https://lbedner.github.io/aegis-stack
CLI,postgen.env_created,Environment file created from .env.example,.env.example에서 환경 파일 생성 완료
CLI,postgen.env_error,Warning: Environment setup failed: {error},경고: 환경 설정 실패: {error}
CLI,postgen.env_exists,Environment file already exists,환경 파일이 이미 존재합니다
CLI,postgen.env_manual,Copy .env.example to .env manually,.env.example을 .env로 수동 복사하세요
CLI,postgen.env_missing,Warning: No .env.example file found,경고: .env.example 파일을 찾을 수 없음
CLI,postgen.env_setup,Setting up environment configuration...,환경 구성 설정 중...
CLI,postgen.format_error,Warning: Auto-formatting skipped: {error},경고: 자동 포맷팅 건너뜀: {error}
CLI,postgen.format_error_manual,Run 'make fix' manually to format code,'make fix'를 수동으로 실행하여 코드를 포맷하세요
CLI,postgen.format_hint,Run 'make fix' to format code when ready,'make fix'를 실행하여 코드를 포맷하세요
CLI,postgen.format_manual,Run 'make fix' manually to resolve remaining issues,남은 문제를 해결하려면 'make fix'를 수동으로 실행하세요
CLI,postgen.format_partial,"Some formatting issues detected, but project created successfully",일부 포맷팅 문제가 감지되었지만 프로젝트는 정상 생성됨
CLI,postgen.format_start,Auto-formatting generated code...,생성된 코드 자동 포맷팅 중...
CLI,postgen.format_success,Code formatting completed successfully,코드 포맷팅 완료
CLI,postgen.format_timeout,Warning: Formatting timeout - run 'make fix' manually when ready,경고: 포맷팅 시간 초과 - 'make fix'를 수동으로 실행하세요
CLI,postgen.llm_fixtures_fallback,Static fixture data is available but may be outdated,정적 픽스처 데이터 사용 가능하지만 오래된 데이터일 수 있습니다
CLI,postgen.llm_fixtures_outdated,Static fixture data loaded (may be outdated),정적 픽스처 데이터 로드됨 (오래된 데이터일 수 있음)
CLI,postgen.llm_seed_error,Warning: LLM fixture seeding failed: {error},경고: LLM 픽스처 시딩 실패: {error}
CLI,postgen.llm_seed_failed,Warning: LLM fixture seeding failed,경고: LLM 픽스처 시딩 실패
CLI,postgen.llm_seed_manual,You can seed fixtures manually by running the fixture loader,픽스처 로더를 실행하여 수동으로 픽스처를 시딩할 수 있습니다
CLI,postgen.llm_seed_success,LLM fixtures seeded successfully,LLM 픽스처 시딩 완료
CLI,postgen.llm_seed_timeout,Warning: LLM fixture seeding timeout,경고: LLM 픽스처 시딩 시간 초과
CLI,postgen.llm_seeding,Seeding LLM fixtures...,LLM 픽스처 시딩 중...
CLI,postgen.llm_sync_error,Warning: LLM catalog sync failed: {error},경고: LLM 카탈로그 동기화 실패: {error}
CLI,postgen.llm_sync_failed,Warning: LLM catalog sync failed,경고: LLM 카탈로그 동기화 실패
CLI,postgen.llm_sync_hint,Run '{slug} llm sync' later to get latest model data,최신 모델 데이터를 얻으려면 나중에 '{slug} llm sync'를 실행하세요
CLI,postgen.llm_sync_manual,Run '{slug} llm sync' manually to populate the catalog,'{slug} llm sync'를 수동으로 실행하여 카탈로그를 채우세요
CLI,postgen.llm_sync_skipped,LLM catalog sync skipped,LLM 카탈로그 동기화 건너뜀
CLI,postgen.llm_sync_success,LLM catalog synced successfully,LLM 카탈로그 동기화 완료
CLI,postgen.llm_sync_timeout,Warning: LLM catalog sync timeout,경고: LLM 카탈로그 동기화 시간 초과
CLI,postgen.llm_syncing,Syncing LLM catalog from external APIs...,외부 API에서 LLM 카탈로그 동기화 중...
CLI,postgen.next_cd,   cd {path},   cd {path}
CLI,postgen.next_dashboard,   Open Overseer: http://localhost:8000/dashboard/,   Overseer 열기: http://localhost:8000/dashboard/
CLI,postgen.next_serve,   make serve,   make serve
CLI,postgen.next_steps,Next steps:,다음 단계:
CLI,postgen.ready,Project ready to run!,프로젝트 실행 준비 완료!
CLI,postgen.setup_start,Setting up your project environment...,프로젝트 환경 설정 중...
CLI,postgen.star_prompt,"If Aegis Stack made your life easier, consider leaving a star:",Aegis Stack이 도움이 되었다면 별점을 남겨주세요:
CLI,projectmap.ai,AI conversations,AI 대화
CLI,projectmap.auth,Authentication,인증
CLI,projectmap.cli,CLI commands,CLI 명령
CLI,projectmap.comms,Communications,통신
CLI,projectmap.components,Components,컴포넌트
CLI,projectmap.docs,Documentation,문서
CLI,projectmap.entrypoints,Run targets,실행 대상
CLI,projectmap.migrations,Migrations,마이그레이션
CLI,projectmap.models,Database models,데이터베이스 모델
CLI,projectmap.new,NEW,신규
CLI,projectmap.services,Business logic,비즈니스 로직
CLI,projectmap.tests,Test suite,테스트 스위트
CLI,projectmap.title,Project Structure:,프로젝트 구조:
CLI,remove.auto_remove_redis,"Auto-removing redis (no standalone functionality, only used by worker)","Redis 자동 제거 (단독 기능 없음, Worker에서만 사용)"
CLI,remove.cannot_remove_core,Cannot remove core component: {component},코어 컴포넌트 제거 불가: {component}
CLI,remove.commit_hint,Make sure you have committed your changes to git.,git에 변경 사항을 커밋했는지 확인하세요.
CLI,remove.components_to_remove,Components to remove:,제거할 컴포넌트:
CLI,remove.confirm,Remove these components?,이 컴포넌트를 제거하시겠습니까?
CLI,remove.error_no_args,Error: components argument is required (or use --interactive),오류: components 인수가 필요합니다 (또는 --interactive 사용)
CLI,remove.failed,Failed to remove components: {error},컴포넌트 제거 실패: {error}
CLI,remove.failed_component,Failed to remove {component}: {error},{component} 제거 실패: {error}
CLI,remove.interactive_hint,Or: aegis remove --interactive,또는: aegis remove --interactive
CLI,remove.load_config_failed,Failed to load project configuration: {error},프로젝트 구성 로드 실패: {error}
CLI,remove.no_selected,No components selected for removal,제거할 컴포넌트가 선택되지 않음
CLI,remove.not_enabled,Not enabled: {components},활성화되지 않음: {components}
CLI,remove.nothing_to_remove,No components to remove!,제거할 컴포넌트 없음!
CLI,remove.project,Project: {path},프로젝트: {path}
CLI,remove.removed_files,Removed {count} files,{count}개 파일 제거 완료
CLI,remove.removing,Removing {component}...,{component} 제거 중...
CLI,remove.removing_all,Removing components...,컴포넌트 제거 중...
CLI,remove.scheduler_db_remains,The database file at data/scheduler.db will remain.,data/scheduler.db의 데이터베이스 파일은 유지됩니다.
CLI,remove.scheduler_keep_hint,To keep your job history: Leave the database component,작업 이력을 보존하려면: 데이터베이스 컴포넌트를 유지하세요
CLI,remove.scheduler_persistence_detail,Your scheduler uses SQLite for job persistence.,스케줄러가 작업 영속성에 SQLite를 사용합니다.
CLI,remove.scheduler_persistence_warn,IMPORTANT: Scheduler Persistence Warning,중요: 스케줄러 영속성 경고
CLI,remove.scheduler_remove_hint,To remove all data: Also remove the database component,모든 데이터를 삭제하려면: 데이터베이스 컴포넌트도 제거하세요
CLI,remove.success,Components removed successfully!,컴포넌트 제거 완료!
CLI,remove.title,Aegis Stack - Remove Components,Aegis Stack - 컴포넌트 제거
CLI,remove.usage_hint,"Usage: aegis remove scheduler,worker","사용법: aegis remove scheduler,worker"
CLI,remove.validation_failed,Component validation failed: {error},컴포넌트 유효성 검사 실패: {error}
CLI,remove.warning_delete,WARNING: This will DELETE component files from your project!,경고: 프로젝트에서 컴포넌트 파일이 삭제됩니다!
CLI,remove_service.auth_db_note,Note: Database tables and alembic migrations are NOT deleted.,참고: 데이터베이스 테이블과 Alembic 마이그레이션은 삭제되지 않습니다.
CLI,remove_service.auth_delete_endpoints,User authentication API endpoints,사용자 인증 API 엔드포인트
CLI,remove_service.auth_delete_intro,Removing auth service will delete:,Auth 서비스를 제거하면 다음이 삭제됩니다:
CLI,remove_service.auth_delete_jwt,JWT token handling code,JWT 토큰 처리 코드
CLI,remove_service.auth_delete_models,User model and authentication services,사용자 모델 및 인증 서비스
CLI,remove_service.auth_warning,IMPORTANT: Auth Service Warning,중요: Auth 서비스 경고
CLI,remove_service.confirm,Remove these services?,이 서비스를 제거하시겠습니까?
CLI,remove_service.deps_not_removed,"Note: Service dependencies (database, etc.) were NOT removed.",참고: 서비스 의존성 (데이터베이스 등)은 제거되지 않았습니다.
CLI,remove_service.deps_remove_hint,Use 'aegis remove <component>' to remove components separately.,'aegis remove <component>'로 컴포넌트를 별도로 제거하세요.
CLI,remove_service.error_no_args,Error: services argument is required (or use --interactive),오류: services 인수가 필요합니다 (또는 --interactive 사용)
CLI,remove_service.failed,Failed to remove services: {error},서비스 제거 실패: {error}
CLI,remove_service.failed_service,Failed to remove service {service}: {error},서비스 {service} 제거 실패: {error}
CLI,remove_service.interactive_hint,Or: aegis remove-service --interactive,또는: aegis remove-service --interactive
CLI,remove_service.interactive_ignores_args,Warning: --interactive flag ignores service arguments,경고: --interactive 플래그는 서비스 인수를 무시합니다
CLI,remove_service.load_config_failed,Failed to load project configuration: {error},프로젝트 구성 로드 실패: {error}
CLI,remove_service.no_selected,No services selected for removal,제거할 서비스가 선택되지 않음
CLI,remove_service.not_enabled,Not enabled: {services},활성화되지 않음: {services}
CLI,remove_service.nothing_to_remove,No services to remove!,제거할 서비스 없음!
CLI,remove_service.project,Project: {path},프로젝트: {path}
CLI,remove_service.removed_files,Removed {count} files,{count}개 파일 제거 완료
CLI,remove_service.removing,Removing service: {service}...,서비스 제거 중: {service}...
CLI,remove_service.services_to_remove,Services to remove:,제거할 서비스:
CLI,remove_service.success,Services removed successfully!,서비스 제거 완료!
CLI,remove_service.title,Aegis Stack - Remove Services,Aegis Stack - 서비스 제거
CLI,remove_service.usage_hint,"Usage: aegis remove-service auth,ai","사용법: aegis remove-service auth,ai"
CLI,remove_service.validation_failed,Service validation failed: {error},서비스 유효성 검사 실패: {error}
CLI,remove_service.warning_delete,WARNING: This will DELETE service files from your project!,경고: 프로젝트에서 서비스 파일이 삭제됩니다!
CLI,service.ai,AI chatbot service with multi-framework support,멀티 프레임워크 지원 AI 챗봇 서비스
CLI,service.auth,User authentication and authorization with JWT tokens,JWT 토큰 기반 사용자 인증 및 권한 부여
CLI,service.comms,"Communications service with email, SMS and voice","이메일, SMS, 음성 통신 서비스"
CLI,services.none_available,  No services available yet.,  아직 사용 가능한 서비스가 없습니다.
CLI,services.recommends_components,Recommends components: {deps},권장 컴포넌트: {deps}
CLI,services.requires_components,Requires components: {deps},필수 컴포넌트: {deps}
CLI,services.requires_services,Requires services: {deps},필수 서비스: {deps}
CLI,services.title,AVAILABLE SERVICES,사용 가능한 서비스
CLI,services.type_ai,AI & Machine Learning Services,AI 및 머신러닝 서비스
CLI,services.type_analytics,Analytics Services,분석 서비스
CLI,services.type_auth,Authentication Services,인증 서비스
CLI,services.type_notification,Notification Services,알림 서비스
CLI,services.type_payment,Payment Services,결제 서비스
CLI,services.type_storage,Storage Services,스토리지 서비스
CLI,services.usage_hint,Use 'aegis init PROJECT_NAME --services auth' to add services,'aegis init PROJECT_NAME --services auth'로 서비스를 추가하세요
CLI,shared.copier_only,The 'aegis {command}' command only works with Copier-generated projects.,'aegis {command}' 명령은 Copier로 생성된 프로젝트에서만 작동합니다.
CLI,shared.empty_component,Empty component name is not allowed,빈 컴포넌트 이름은 허용되지 않습니다
CLI,shared.empty_service,Empty service name is not allowed,빈 서비스 이름은 허용되지 않습니다
CLI,shared.git_init_hint,Projects created with 'aegis init' should have git initialized automatically,'aegis init'으로 생성된 프로젝트는 git이 자동으로 초기화됩니다
CLI,shared.git_manual_init,"If you created this project manually, run: git init && git add . && git commit -m 'Initial commit'",수동으로 생성한 프로젝트의 경우 다음을 실행하세요: git init && git add . && git commit -m 'Initial commit'
CLI,shared.git_not_initialized,Project is not in a git repository,프로젝트가 git 저장소에 없습니다
CLI,shared.git_required,Copier updates require git for change tracking,Copier 업데이트에는 변경 추적을 위한 git이 필요합니다
CLI,shared.interactive_ignores_args,Warning: --interactive flag ignores component arguments,경고: --interactive 플래그는 컴포넌트 인수를 무시합니다
CLI,shared.next_commit,   3. Commit the changes with: git add . && git commit,   3. 변경 사항 커밋: git add . && git commit
CLI,shared.next_make_check,   1. Run 'make check' to verify the update,   1. 'make check'를 실행하여 업데이트 확인
CLI,shared.next_steps,Next steps:,다음 단계:
CLI,shared.next_test,   2. Test your application,   2. 애플리케이션 테스트
CLI,shared.no_components_selected,No components selected,선택된 컴포넌트 없음
CLI,shared.no_services_selected,No services selected,선택된 서비스 없음
CLI,shared.not_copier_project,Project at {path} was not generated with Copier.,프로젝트 {path}은(는) Copier로 생성되지 않았습니다.
CLI,shared.operation_cancelled,Operation cancelled,작업 취소됨
CLI,shared.regenerate_hint,"To add components, regenerate the project with the new components included.",컴포넌트를 추가하려면 새 컴포넌트를 포함하여 프로젝트를 재생성하세요.
CLI,shared.review_docker,   git diff docker-compose.yml,   git diff docker-compose.yml
CLI,shared.review_header,Review changes:,변경 사항 검토:
CLI,shared.review_pyproject,   git diff pyproject.toml,   git diff pyproject.toml
CLI,update.already_at_commit,Project is already at the target commit,프로젝트가 이미 대상 커밋에 있습니다
CLI,update.already_at_version,Project is already at the requested version,프로젝트가 이미 요청한 버전입니다
CLI,update.backup_created,   Backup created: {tag},   백업 생성 완료: {tag}
CLI,update.backup_failed,Could not create backup point,백업 포인트를 생성할 수 없음
CLI,update.cancelled,Update cancelled,업데이트 취소됨
CLI,update.changelog,Changelog:,변경 로그:
CLI,update.changelog_breaking,Breaking Changes:,주요 변경 사항:
CLI,update.changelog_features,New Features:,새로운 기능:
CLI,update.changelog_fixes,Bug Fixes:,버그 수정:
CLI,update.changelog_other,Other Changes:,기타 변경 사항:
CLI,update.clean_required,Copier requires a clean git tree to safely merge changes.,Copier가 안전하게 변경 사항을 병합하려면 깨끗한 git 트리가 필요합니다.
CLI,update.commit_or_stash,Commit or stash your changes before running 'aegis update'.,'aegis update' 실행 전에 변경 사항을 커밋하거나 스태시하세요.
CLI,update.confirm,Apply this update?,이 업데이트를 적용하시겠습니까?
CLI,update.copier_only,The 'aegis update' command only works with Copier-generated projects.,'aegis update' 명령은 Copier로 생성된 프로젝트에서만 작동합니다.
CLI,update.creating_backup,Creating backup point...,백업 포인트 생성 중...
CLI,update.current_cli,   Current CLI:      {version},   현재 CLI:      {version}
CLI,update.current_commit,   Current: {commit}...,   현재: {commit}...
CLI,update.current_template,   Current Template: {version},   현재 템플릿: {version}
CLI,update.current_template_commit,   Current Template: {commit}... (commit),   현재 템플릿: {commit}... (커밋)
CLI,update.current_template_unknown,   Current Template: unknown,   현재 템플릿: 알 수 없음
CLI,update.custom_template,Using custom template ({source}): {path},커스텀 템플릿 사용 ({source}): {path}
CLI,update.dirty_tree,Git tree has uncommitted changes,git 트리에 커밋되지 않은 변경 사항 있음
CLI,update.downgrade_blocked,Downgrade not supported,다운그레이드 불가
CLI,update.downgrade_reason,Copier does not support downgrading to older template versions.,Copier는 이전 템플릿 버전으로의 다운그레이드를 지원하지 않습니다.
CLI,update.dry_run,DRY RUN MODE - No changes will be applied,드라이 런 모드 - 변경 사항이 적용되지 않습니다
CLI,update.dry_run_hint,"To apply this update, run:",이 업데이트를 적용하려면 다음을 실행하세요:
CLI,update.failed,Update failed: {error},업데이트 실패: {error}
CLI,update.git_clean,Git tree is clean,git 트리 깨끗함
CLI,update.manual_rollback,Manual rollback: git reset --hard {tag},수동 롤백: git reset --hard {tag}
CLI,update.merge_conflicts,   {count} file(s) have merge conflicts (search for <<<<<<< to resolve):,   {count}개 파일에 병합 충돌 있음 (<<<<<<< 검색으로 해결):
CLI,update.moved_files,   Moved {count} new files from nested directory,   중첩 디렉토리에서 {count}개 새 파일 이동 완료
CLI,update.need_regen,Projects generated before v0.2.0 need to be regenerated.,v0.2.0 이전에 생성된 프로젝트는 재생성이 필요합니다.
CLI,update.next_commit,   4. Commit changes: git add . && git commit,   4. 변경 사항 커밋: git add . && git commit
CLI,update.next_conflicts,   2. Check for conflicts (*.rej files),   2. 충돌 확인 (*.rej 파일)
CLI,update.next_review,   1. Review changes: git diff,   1. 변경 사항 검토: git diff
CLI,update.next_steps,Next Steps:,다음 단계:
CLI,update.next_test,   3. Run tests: make check,   3. 테스트 실행: make check
CLI,update.not_copier,Project at {path} was not generated with Copier.,프로젝트 {path}은(는) Copier로 생성되지 않았습니다.
CLI,update.partial_detail,   Some setup tasks failed. See details above.,   일부 설정 작업이 실패했습니다. 위 세부 사항을 확인하세요.
CLI,update.partial_success,Update completed with some post-generation task failures,업데이트 완료 (일부 후처리 작업 실패)
CLI,update.project,Project: {path},프로젝트: {path}
CLI,update.rollback_prompt,Rollback to previous state?,이전 상태로 롤백하시겠습니까?
CLI,update.running_postgen,Running post-generation tasks...,후처리 작업 실행 중...
CLI,update.success,Update completed successfully!,업데이트 완료!
CLI,update.synced_files,   Synced {count} template changes,   {count}개 템플릿 변경 사항 동기화 완료
CLI,update.target_commit,   Target:  {commit}...,   대상: {commit}...
CLI,update.target_template,   Target Template:  {version},   대상 템플릿:  {version}
CLI,update.title,Aegis Stack - Update Template,Aegis Stack - 템플릿 업데이트
CLI,update.troubleshoot_clean,   - Ensure you have a clean git tree,   - 깨끗한 git 트리인지 확인하세요
CLI,update.troubleshoot_docs,   - Review Copier documentation for update issues,   - 업데이트 문제는 Copier 문서를 참조하세요
CLI,update.troubleshoot_version,   - Check that the version/commit exists,   - 버전/커밋이 존재하는지 확인하세요
CLI,update.troubleshooting,Troubleshooting:,문제 해결:
CLI,update.unknown_version,Warning: Cannot determine current template version,경고: 현재 템플릿 버전을 확인할 수 없음
CLI,update.untagged_commit,Project may have been generated from an untagged commit,프로젝트가 태그되지 않은 커밋에서 생성되었을 수 있습니다
CLI,update.updating,Updating project...,프로젝트 업데이트 중...
CLI,update.updating_to,Updating to template version {version},템플릿 버전 {version}으로 업데이트 중
CLI,update.version_info,Version Information:,버전 정보:
CLI,update.version_updated,   Updated __aegis_version__ to {version},   __aegis_version__을 {version}으로 업데이트 완료
CLI,updater.code_formatted,Code formatted (make fix),코드 포맷팅 완료 (make fix)
CLI,updater.deps_synced,Dependencies synced (uv sync),의존성 동기화 완료 (uv sync)
CLI,updater.processing_files,Processing {count} component files...,{count}개 컴포넌트 파일 처리 중...
CLI,updater.running_postgen,Running post-generation tasks...,후처리 작업 실행 중...
CLI,updater.updating_shared,Updating shared template files...,공유 템플릿 파일 업데이트 중...
CLI,validation.invalid_name,"Invalid project name. Only letters, numbers, hyphens, and underscores are allowed.","프로젝트 이름이 유효하지 않습니다. 영문자, 숫자, 하이픈, 밑줄만 사용할 수 있습니다."
CLI,validation.invalid_python,Invalid Python version '{version}'. Must be one of: {supported},Python 버전 '{version}'이(가) 유효하지 않습니다. 다음 중 하나여야 합니다: {supported}
CLI,validation.name_too_long,Project name too long. Maximum 50 characters allowed.,프로젝트 이름이 너무 깁니다. 최대 50자까지 허용됩니다.
CLI,validation.reserved_name,'{name}' is a reserved name.,'{name}'은(는) 예약된 이름입니다.
CLI,validation.unknown_component,Unknown component: {name},알 수 없는 컴포넌트: {name}
CLI,validation.unknown_service,Unknown service: {name},알 수 없는 서비스: {name}
CLI,validation.unknown_services,Unknown services: {names},알 수 없는 서비스: {names}
CLI,version.info,Aegis Stack CLI v{version},Aegis Stack CLI v{version}
Template,ai.access_denied,Access denied: You don't own this conversation,접근 거부: 이 대화의 소유자가 아닙니다
Template,ai.adding_provider,Adding {provider} provider...,{provider} 제공자 추가 중...
Template,ai.api_key_label,API Key:,API 키:
Template,ai.api_key_skipped,Skipped API key configuration,API 키 설정을 건너뛰었습니다
Template,ai.arg_audio_file,Path to audio file,오디오 파일 경로
Template,ai.arg_conversation_id,Conversation ID,대화 ID
Template,ai.arg_message,Message to send to AI,AI에 보낼 메시지
Template,ai.arg_provider,"Provider name (openai, anthropic, google, groq, mistral, cohere)","제공자 이름 (openai, anthropic, google, groq, mistral, cohere)"
Template,ai.arg_provider_switch,Provider name to switch to,전환할 제공자 이름
Template,ai.arg_text,Text to synthesize into speech,음성으로 합성할 텍스트
Template,ai.audio_saved,Audio saved: {path} ({size} bytes),오디오 저장됨: {path} ({size} 바이트)
Template,ai.audio_status,Audio status: {status},오디오 상태: {status}
Template,ai.available_providers,Available providers:,사용 가능한 제공자:
Template,ai.cancelled,Cancelled,취소됨
Template,ai.chat_ended,Chat session ended,채팅 세션이 종료되었습니다
Template,ai.chat_hints,Type /help for commands • Esc then Enter to insert newline • 'exit' to quit,/help로 명령어 확인 • Esc 후 Enter로 줄바꿈 • 'exit'로 종료
Template,ai.check_mic,Check your microphone permissions and try again,마이크 권한을 확인하고 다시 시도하세요
Template,ai.checking_api_key,Checking API key...,API 키 확인 중...
Template,ai.checking_deps,Checking dependencies...,의존성 확인 중...
Template,ai.col_api_key,API Key,API 키
Template,ai.col_free,Free,무료
Template,ai.col_functions,Functions,함수 호출
Template,ai.col_installed,Installed,설치됨
Template,ai.col_provider,Provider,제공자
Template,ai.col_status,Status,상태
Template,ai.col_stream,Stream,스트리밍
Template,ai.col_vision,Vision,비전
Template,ai.config_issues,Configuration issues:,설정 문제:
Template,ai.config_valid,Configuration valid,설정 유효
Template,ai.connecting_to,Connecting to {provider}...,{provider}에 연결 중...
Template,ai.connection_error,Connection Error: {error},연결 오류: {error}
Template,ai.consider_running,Consider running:,다음 실행을 고려하세요:
Template,ai.conversation_id_label,Conversation: {id},대화: {id}
Template,ai.conversation_label,Conversation:,대화:
Template,ai.conversation_not_found,Conversation not found: {id},대화를 찾을 수 없습니다: {id}
Template,ai.conversations_for,Conversations for {user_id}:,{user_id}의 대화:
Template,ai.current_provider,Current provider: {provider},현재 제공자: {provider}
Template,ai.deps_installed,Dependencies already installed,의존성이 이미 설치되어 있습니다
Template,ai.deps_not_installed,Dependencies not installed for {provider},{provider}의 의존성이 설치되지 않았습니다
Template,ai.deps_ok,Dependencies installed,의존성 설치됨
Template,ai.disabled,Disabled,비활성화됨
Template,ai.enabled,Enabled,활성화됨
Template,ai.engine_label,Engine:,엔진:
Template,ai.enter_api_key,Enter your {provider} API key (or press Enter to skip),{provider} API 키를 입력하세요 (건너뛰려면 Enter)
Template,ai.enter_message_hint,Please enter a message or type /help.,메시지를 입력하거나 /help를 입력하세요.
Template,ai.file_not_found,File not found: {path},파일을 찾을 수 없습니다: {path}
Template,ai.free_tier,Free tier,무료 플랜
Template,ai.generating_speech,Generating speech...,음성 생성 중...
Template,ai.get_api_key_at,Get your API key at:,API 키를 받으세요:
Template,ai.goodbye,Goodbye!,안녕히 가세요!
Template,ai.header,Illiana:,Illiana:
Template,ai.header_inline,Illiana: ,Illiana: 
Template,ai.health_degraded,"DEGRADED ({pct:.0f}%, {count} issues)","저하됨 ({pct:.0f}%, {count}개 문제)"
Template,ai.health_label,Health:,상태:
Template,ai.health_na,N/A,해당 없음
Template,ai.health_ok,OK ({pct:.0f}%),정상 ({pct:.0f}%)
Template,ai.help,AI service management and chat commands,AI 서비스 관리 및 채팅 명령어
Template,ai.help_add_provider,Add a new AI provider — installs dependencies and configures API key.,새 AI 제공자를 추가합니다 — 의존성 설치 및 API 키를 설정합니다.
Template,ai.help_chat,Send a chat message or start an interactive session. Resumes the most recent conversation by default.,채팅 메시지를 보내거나 대화형 세션을 시작합니다. 기본적으로 가장 최근 대화를 이어갑니다.
Template,ai.help_conversations,List conversations for a user.,사용자의 대화 목록을 표시합니다.
Template,ai.help_history,View conversation history.,대화 기록을 확인합니다.
Template,ai.help_providers,List all available AI providers with installation status.,설치 상태와 함께 사용 가능한 모든 AI 제공자를 표시합니다.
Template,ai.help_record,"Record audio from microphone, transcribe, and optionally chat with AI.","마이크로 오디오를 녹음하고, 텍스트로 변환하며, 선택적으로 AI와 대화합니다."
Template,ai.help_speak,Synthesize speech from text using the configured TTS provider.,구성된 TTS 제공자를 사용하여 텍스트에서 음성을 합성합니다.
Template,ai.help_status,"Show AI service status, configuration, and validation.","AI 서비스 상태, 설정, 검증 결과를 표시합니다."
Template,ai.help_stt_status,Show STT (Speech-to-Text) service status.,STT (음성-텍스트 변환) 서비스 상태를 표시합니다.
Template,ai.help_transcribe,Transcribe audio to text without chat.,채팅 없이 오디오를 텍스트로 변환합니다.
Template,ai.help_tts_status,Show TTS (Text-to-Speech) service status.,TTS (텍스트-음성 변환) 서비스 상태를 표시합니다.
Template,ai.help_usage,"Show AI usage statistics including token counts, costs, and recent activity.","토큰 수, 비용, 최근 활동 등 AI 사용 통계를 표시합니다."
Template,ai.help_use_provider,Switch to a different AI provider.,다른 AI 제공자로 전환합니다.
Template,ai.help_voice,Send voice input to AI agent. Transcribes audio and sends to chat.,음성 입력을 AI 에이전트에 전송합니다. 오디오를 텍스트로 변환 후 채팅에 전달합니다.
Template,ai.initializing,Initializing...,초기화 중...
Template,ai.input_tokens,Input:,입력:
Template,ai.install_cancelled,Installation cancelled,설치가 취소되었습니다
Template,ai.install_dep,Install {dep}?,{dep}을(를) 설치하시겠습니까?
Template,ai.install_failed_hint,Try installing manually:,수동 설치를 시도하세요:
Template,ai.install_with,Install with:,설치 방법:
Template,ai.installing,Installing...,설치 중...
Template,ai.invalid_provider,Invalid provider: {provider},잘못된 제공자: {provider}
Template,ai.language_label,Language: {lang},언어: {lang}
Template,ai.linux_deps,On Linux:,Linux에서:
Template,ai.macos_portaudio,"On macOS, you may also need PortAudio:",macOS에서는 PortAudio도 필요할 수 있습니다:
Template,ai.max_tokens_label,Max Tokens:,최대 토큰:
Template,ai.messages_count,{count} messages,{count}개 메시지
Template,ai.messages_info,Messages: {count},메시지: {count}
Template,ai.messages_label,Messages:,메시지:
Template,ai.model_label,Model:,모델:
Template,ai.model_usage,Model Usage,모델 사용량
Template,ai.no_api_key,No {var} found,{var}을(를) 찾을 수 없습니다
